Title,Price (PKR),Beds,Baths,Area (Marla),Price Per Marla,Area,Block,Phase,Sector,Predicted Price (PKR)
Luxury House Is Available For Sale In Bani Gala Islamabad,45000000.0,6.0,6.0,10.0,4500000.0,Bani Gala,,,,46972937.01254883
Elan Square One Bed Apartment Is Available For Sale In New Blue Area,50000000.0,1.0,1.0,3.8,13157894.736842103,New Blue Area,,,,37645095.55555555
In Gulberg Greens - Block C Farm House Sized 4 Kanal For sale,90000000.0,,,80.0,1125000.0,Gulberg Greens,"Block C, Gulberg Greens",,,234950000.0
Fully Furnished 2 Bed 2019 Sq Ft Luxury Apartment is Available For Sale,110000000.0,2.0,3.0,9.0,12222222.222222222,F-8,,,F-8,93920230.15873018
Signature Style 1 Kanal Double Unit House Available For Sale In DHA DEFENCE PHASE 2,119000000.0,6.0,7.0,20.0,5950000.0,DHA Defence Phase 2,,,,101687650.67340069
One (1) Bed Flat (Appartment) Available For Sale In Gulberg Green Islamabad Pakistan,6000000.0,1.0,1.0,2.2,2727272.727272727,Gulberg Greens,,,,6415660.714285716
BAHRIA ENCLAVE SECTOR C-1 10 MARLA DESIGNER BRAND NEW HOUSE AVAILABLE FOR SALE AT PRIME LOCATION,57500000.0,5.0,6.0,10.0,5750000.0,Bahria Enclave,,,,48623646.10892147
2 Bedrooms Apartment For sale in Capital Square B-17 Islamabad,8000000.0,2.0,2.0,4.7,1702127.659574468,,,,B-17,8483452.38095238
Furnished & Rented 2 Bed 2019 SFT Flat in The Centaurus For Sale,81000000.0,2.0,3.0,9.0,9000000.0,F-8,,,F-8,93920230.15873018
Two Bedrooms Apartment In Lignum Tower GT Road Islamabad,15000000.0,2.0,2.0,6.3,2380952.380952381,Lignum Tower,,,,15886166.666666666
Sector C1 Corner Idyllic House Available For Sale In Bahria Enclave Islamabad,48000000.0,5.0,5.0,10.0,4800000.0,Bahria Enclave,,,,51111346.346220575
Best Options For Flat Is Available For Sale In Diplomatic Enclave,45000000.0,2.0,2.0,5.3,8490566.03773585,Diplomatic Enclave,,,,16126308.578921076
"2 Bedrooms, Furnished & Brand New Flat In Pavillion One",28000000.0,2.0,2.0,5.5,5090909.090909091,Eighteen,,,,17115635.714285716
7 Marla House For Sale,27500000.0,4.0,5.0,8.0,3437500.0,,,,B-17,29008111.11111112
Reserve A Centrally Located House In MPCHS - Block B,57000000.0,6.0,6.0,14.2,4014084.507042254,MPCHS,"Block B, MPCHS",,,62797666.666666664
Fresh Designer Kanal House For Sale,69000000.0,6.0,6.0,20.0,3450000.0,MPCHS,"Block C, MPCHS",,,73965349.70743552
3 Bedrooms Apartment For Sale On Ground Floor In MVHS D17,9000000.0,3.0,3.0,6.7,1343283.5820895522,D-17,,,D-17,13053111.111111112
F-18 Faisal Town Rawalpindi Short Corner Brand New House,38000000.0,5.0,5.0,8.0,4750000.0,Faisal Town,,,F-18,35983527.77777778
E-18 HECHS Islamabad Brand New Nicely Built House,15000000.0,2.0,3.0,8.0,1875000.0,Gulshan-e-Sehat 1,"Block A, Gulshan-e-Sehat 1",,,18112666.666666668
E-18 Gulshan-E-Sehat HECHS Islamabad 5 Marla Brand New House,15000000.0,5.0,5.0,5.0,3000000.0,Gulshan-e-Sehat 1,"Block D, Gulshan-e-Sehat 1",,,19067940.476190478
My own house available for sale original pictures attached,42500000.0,9.0,7.0,10.0,4250000.0,PWD Housing Scheme,,,,44647488.0952381
"1 Kanal Ready To Move In Villa For Sale In Eighteen, A Championship Golf Course.",120000000.0,5.0,6.0,20.0,6000000.0,Eighteen,,,,124485438.65586878
NICE LOCATION LUSH CONDITION KANAL HOUSE AVAIL FOR SALE,77500000.0,6.0,7.0,20.0,3875000.0,DHA Defence Phase 1,,,,101687650.67340069
PRIME LOCATION ONE KANAL BRAND NEW HOUSE AVAIL FOR SALE,92500000.0,6.0,7.0,20.0,4625000.0,DHA Defence Phase 1,,,,101687650.67340069
E 11 Furnished 4 Bed Marghala Face Apartment For Sale,16000000.0,4.0,4.0,7.1,2253521.126760564,,,,E-11,25249111.11111111
10 Marla Brand New House For Sale In Top City-1 Islamabad,39000000.0,5.0,6.0,10.0,3900000.0,Top City 1,"Block D, Top City 1",,,49344917.194435365
10 MARLA SINGLE STORY HOUSE FOR SALE F-17 ISLAMABAD ALL FACILITY AVAILABLE CDA PPROVED SECTOR,23500000.0,3.0,3.0,10.0,2350000.0,,,,F-17,34102500.0
